split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
development,turbine_1,1,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2752726,0.3666453,0.0603704,0.0810769,0.3413104,0.5014168,3.3166667,6.1011111
development,turbine_1,2,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2997309,0.3824224,0.1035185,0.1615807,0.3844523,0.5367713,3.1966667,6.7518519
development,turbine_1,3,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3031436,0.3654353,0.0783333,0.1293037,0.3592078,0.5069942,3.2911111,6.4753704
development,turbine_1,4,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2921865,0.3463091,0.1122222,0.1857783,0.3572584,0.4879754,3.2577777,6.3059259
development,turbine_1,5,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2771724,0.3405040,0.1535185,0.2754206,0.2999249,0.4307535,3.2111111,6.1355556
development,turbine_1,6,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2900112,0.3846218,0.2029630,0.3306848,0.3506315,0.4962320,3.4366667,6.9122222
development,turbine_1,7,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2885290,0.3430475,0.2011111,0.3110784,0.2763952,0.4156307,3.5888889,6.4931481
development,turbine_1,8,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2877863,0.3552136,0.2474074,0.3782595,0.2463559,0.4046587,3.6722223,6.6385185
development,turbine_1,9,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2964749,0.3560156,0.2892593,0.4097809,0.3537829,0.4939527,3.6444444,6.9996296
development,turbine_1,10,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3286632,0.4003648,0.3214815,0.4585410,0.4057183,0.5630685,3.4444444,7.3127778
development,turbine_1,11,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3338136,0.4041283,0.3181481,0.4692120,0.3959161,0.5612305,3.2644444,7.0216667
development,turbine_1,12,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2631958,0.3671114,0.3985185,0.5259677,0.3403490,0.5059009,3.3511111,7.3414815
development,turbine_1,13,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2629442,0.3521501,0.4359259,0.5520098,0.3045581,0.4626416,3.2122222,6.9659259
development,turbine_1,14,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2763505,0.3696026,0.4638889,0.5909296,0.3322774,0.4962251,3.2577778,7.5055556
